Year,Fishing method,Licences,Days,Tonnes,DiscardNumber
1992,Other,,,,
1993,Other,,,,
1994,Other,,,,
1995,Other,,,,
1996,Other,,,,
1997,Other,,,,
1998,Other,,,,
1999,Other,,,,
2000,Other,N/A,N/A,N/A,N/A
2001,Other,21,61,,
2002,Other,120,517,,
2003,Other,176,1034,,
2004,Other,148,806,,
2005,Other,121,615,,
2006,Other,48,95,,
2007,Other,,,,
2008,Other,,,,
2009,Other,,,,
2010,Other,,,,
2011,Other,,,,
2012,Other,,,,
2013,Other,,,,
2014,Other,,,,
2015,Other,,,,
2016,Other,,,,
2017,Other,,,,
2018,Other,,,,
2019,Other,,,,
2020,Other,,,,
2021,Other,7,13,,
2022,Other,7,7,,
2023,Other,,,,
